tu_code,tu_name
П.забезпечення, Органи та підрозділи забезпечення/бази/заклади/установи
Прямого,Військові частини прямого підпорядкування (що не входять до складу ОТО)
GU_NGU,Головне управління
Кримське ОТУ,Кримське оперативно-територіальне об'єднання Національної гвардії України
НЦ,Навчальні заклади та центри
АЗОВ,Оперативно-тактичне з'єднання - 1 корпус Національної гвардії України "Азов"
ХАРТІЯ,Оперативно-тактичне з'єднання - 2 корпус Національної гвардії України "Хартія"
Північне ОТУ,Північне оперативно-територіальне об'єднання Національної гвардії України
Південне ОТУ,Південне оперативно-територіальне об'єднання Національної гвардії України
Західне ОТУ,Західне оперативно-територіальне об'єднання Національної гвардії України
Східне ОТУ,Східне оперативно-територіальне об'єднання Національної гвардії України
Центральне ОТУ,Центральне оперативно-територіальне об'єднання Національної гвардії України